title,authors,subject,publish_year,description,rating
"Look out, Cub!",Peter Bently,baby books,2011,"When a lion cub cannot find anyone to play with him, he climbs a tall tree to see what he can see.",
A baby rabbit story,Jeni Wittrock,baby books,2011,,
Ella's bath,Peter Bently,baby books,2011,"When Stork steals a branch from Ella the elephant, her mother helps her try to get it back.",
When Charley Met Grampa,Amy Hest,baby books,2013,"It's a snowy day, and Grampa is coming by train for a visit. Henry can't wait for him to meet his new puppy, Charley.

Henry introduces his puppy, Charley, to Grampa, who does not know how he feels about dogs until Charley saves his hat.",
Boomer's big surprise,Constance W. McGeorge,baby books,1999,"Boomer is distressed by the special treatment given to the new puppy in his household and feels that he is no longer top dog, but then he finds that the recent arrival can be a friend and playmate.",
Mama Cat has Three Kittens [big book],Denise Fleming,baby books,1998,"Mama Cat has three kittens: Fluffy, Skinny, and Boris. When Mama Cat washes her paws, Fluffy and Skinny wash their paws. Boris naps. When Mama Cat walks the stone wall, Fluffy and Skinny walk the stone wall. Boris naps. When Mama Cat sharpens her claws, Fluffy and Skinny sharpen their claws. Boris naps. - p. 2-15.",1.0
Young kangaroo,Margaret Wise Brown,baby books,1955,"A tiny kangaroo is born and moves into his mother's pouch, where he grows big enough to be interested in the world around him long before he actually leaves her pouch to investigate further.",5.0
Tigress,Nick Dowson,baby books,2001,A mother tigress raises two cubs and teaches them all they need to know until they are ready to rely on themselves.,
Spelling queen,Marci Peschke,baby books,2012,"Kylie Jean is studying hard for the spelling bee at school, but she keeps getting distracted by the kitten that she and her cousin Lucy found.",
Mama loves,Molly Goode,baby books,1999,"Follows, in rhyming text and illustrations, the activities of a variety of animal mothers as they care for their babies.",3.0
Biscuit Meets the Class Pet,Alyssa Satin Capucilli,baby books,2009,"When Nibbles, the new class pet, gets lost during a visit, Biscuit the puppy helps find him.",4.0
Biscuit in the garden,Alyssa Satin Capucilli,baby books,2013,Biscuit the puppy is eager to see the plants and make friends with the animals in the garden.,5.0
"The pinkish, purplish, bluish egg",Bill Peet,baby books,1963,,5.0
Are you my baby?,Kathleen Rizzi,baby books,2012,"""Which baby is duck's baby? Or dog's baby? Or cat's baby? Lift each flap and you will see! Toddlers will have lots of fun matching the pictures of each parent to its baby and imitating all the sounds the animals make""--P. [4] of cover.",
Koalas,Gail Saunders-Smith,baby books,1997,Describes and illustrates various activities of koalas and their joeys,
Lola Levine and the Halloween Scream,Monica Brown,baby books,2017,,
Dinosaur families,Rupert Matthews,baby books,2008,"""Describes dinosaur fossils that have been found around the world and what is known about how they interacted with their young and with each other. Includes dinosaurs from the Triassic, Jurassic, and Cretaceous periods""--Provided by publisher.",
Mallard Duck Meadow View Pond,Wendy Pfeffer,baby books,2001,"A young mallard duck grows to maturity under the care of his mother, avoiding predators and learning how to fly.",
Robyn's Best Idea,Hazel J. Hutchins,baby books,2001,,
Farm Babies,Rod Campbell,baby books,2002,,
A kitten tale,Eric Rohmann,baby books,2008,"As four kittens who have never seen winter watch the seasons pass, three of them declare the reasons they will dislike snow when it arrives, while the fourth cannot wait to experience it for himself.",3.75
Duck,Barrie Watts,baby books,1991,"A simple introduction to the physical characteristics and behavior of ducks, emphasizing the birth and development of ducklings.",
In My Backyard,Valarie Giogas,baby books,2007,,
The pigeon wants a puppy!,Mo Willems,baby books,2008,"He really, really, REALLY wants one. He'll take really good care of it! What's the matter--don't you want him to be happy? The latest book in the best-selling Pigeon series is the funniest one yet.",4.48
Why not?,Mary Wormell,baby books,2000,"When his mother repeatedly tells him not to bother the other animals, Barnaby the kitten always asks: ""Why?""",
Tickle My Tummy!,Nicola Baxter,baby books,1900,,
Andy Shane is NOT in love,"Jennifer Jacobson, Abby Carter",baby books,2008,"When Andy Shane befriends the new girl in town, everyone thinks he must be in love with her, but the reason he is spending so much time with her is because her dog just had puppies.",
Dinosaur babies,Kathleen Weidner Zoehfeld,baby books,1999,"Describes the parenting habits of the Maiasaura, a dinosaur whose way of raising children bore similarities to that of birds.",
Little Elephant Thunderfoot,Sally Grindley,baby books,1996,"A baby elephant learns to feel secure with his grandmother, the head of the herd, until shots by poachers change his world.",
Green eyes,Abe Birnbaum,baby books,1953,"A cat recalls favorite experiences from each season of its first year of life, from struggling to get out of its cozy box in the spring, to snuggling by the radiator in the cold of winter.",3.0
"A pinky is a baby mouse, and other baby animal names",Pam Muñoz Ryan,baby books,1997,Rhyming text explains the different names by which various baby animals are known.,
Puppies,"Rebecca Sjonger, Bobbie Kalman",baby books,2004,,
Nothing at all,Wanda Gág,baby books,1941,"Left alone when his two visible brothers are chosen as pets by a little girl and boy, an invisible puppy tries to find a way to become a dog that everyone can see and love.",5.0
"What's in the egg, Little Pip?","Karma Wilson, Jane Chapman",baby books,2010,"Little Pip the penguin comes to terms with the presence of an Egg, which will soon hatch into a little brother or sister.",
The circus baby : a picture book,Maud Fuller Petersham,baby books,1950,The antics of Baby Elephant as his mother tries to teach him to eat with a spoon at the clown family's dining table.,
"Happy Halloween, Biscuit!",Alyssa Satin Capucilli,baby books,1999,"The yellow puppy and the little girl find a pumpkin, try on costumes, and go trick-or-treating on his first Halloween.",
Babies on the Go,Linda Ashman,baby books,2003,Illustrations and rhyming text show how different animals carry their babies when they are on the move.,3.0
Fold-Out Board Books,DK Publishing,baby books,1999,,
Puppies,Nicola Tuxworth,baby books,1999,Photographs and simple text present puppies engaged in a variety of activities.,
Baby Elephants,Alice Twine,baby books,2008,,
Cats of the Wild,Alice Twine,baby books,2007,,
Spunky's Diary,Janette Oke,baby books,1982,"Spunky the puppy keeps a diary describing his daily life with the Dobson family, including the time he went to church and the day he got lost.",4.0
This little pig,Janette Oke,baby books,1991,"Hiram the piglet is born into a very competitive litter, but they all eventually learn to get along.",
Baby Animals,Cindy Chapman,baby books,2003,"Shows a variety of baby animals, in an easy-to-read text that incorporates phonics instruction and rebuses.",
Baby Animals,Cody Keiser,baby books,2012,,
Little Panda,Joanne Ryder,baby books,2001,,
Animal babies,Anita Ganeri,baby books,1991,Describes characteristics of a wide variety of baby animals in question and answer format.,
Parsnip,Sue Porter,baby books,1997,,
Kitten,"Burton, Jane., Jane Burton",baby books,1991,Photographs and text show the development of a kitten from birth to ten weeks old.,5.0
"Babies, babies, babies",Tessa Dahl,baby books,1991,A brother and sister learn about human and animal babies as their expectant mother answers their questions about the new baby that is on the way.,
Over on the Farm,Marianne Berkes,baby books,2016,,
My little fox,Rick Chrustowski,baby books,2017,"""A little fox explores the forest during his very first year.""--",
Saving Marty,Paul Griffin,baby books,2017,"Renzo is a quiet kid, content to let his charismatic friend Paloma do all the talking while he dreams of playing the guitar and surfing out in California, becoming a veterinarian, and maybe learning more about the war hero  father he's never known. He lives on a farm with his mom, grandfather, and an extraordinary pig named Marty ... a pig who thinks he's a dog, that is. Renzo and Marty s friendship is one-of-a-kind, but the bigger Marty gets, the harder it is for Renzo to justify his unusual pet to his penny-pinching mom. So when she threatens to sell Marty or worse Renzo decides it s up to him and Paloma to save Marty once and for all.",4.0
